cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
10.798,2.20E+08,3.78E+06,4559,74012,610,3900
11.8955,2.20E+08,3.77E+06,4475,73047,623,3900
8.31463,2.20E+08,3.77E+06,4372,71871,611,3900
10.6707,2.20E+08,3.77E+06,4380,75838,641,3900
8.58699,2.20E+08,3.77E+06,4449,80127,580,3900
9.18551,2.20E+08,3.77E+06,4587,78937,544,3900
11.1841,2.20E+08,3.77E+06,4556,80617,509,3900
10.1023,2.20E+08,3.76E+06,4473,78670,579,3900
10.5337,2.20E+08,3.77E+06,4425,77629,587,3900
12.1022,2.20E+08,3.77E+06,4425,76328,573,3900
11.9558,2.20E+08,3.76E+06,4547,77742,627,3900
9.71535,2.20E+08,3.77E+06,4531,76664,570,3900
10.5273,2.20E+08,3.77E+06,4452,75265,538,3900
9.75949,2.20E+08,3.77E+06,4630,75923,568,3900
10.8867,2.20E+08,3.77E+06,4615,73491,575,3900
10.1162,2.20E+08,3.76E+06,4749,73744,662,3900
13.4086,2.20E+08,3.76E+06,4591,73916,646,3900
10.1408,2.20E+08,3.77E+06,4635,78608,696,3900
13.5362,2.20E+08,3.76E+06,4642,82990,668,3900
11.5734,2.20E+08,3.78E+06,4607,81748,595,3900
9.23431,2.20E+08,3.77E+06,4556,78988,553,3900
9.49367,2.20E+08,3.77E+06,4477,75967,523,3900
11.3207,2.20E+08,3.78E+06,4468,78321,474,3900
12.0979,2.20E+08,3.77E+06,4531,79078,466,3900
10.9232,2.20E+08,3.78E+06,4395,78662,478,3900
9.44033,2.20E+08,3.78E+06,4507,80961,543,3900
10.9127,2.20E+08,3.76E+06,4639,83802,658,3900
10.5388,2.20E+08,3.77E+06,4766,86063,700,3900
12.1046,2.20E+08,3.77E+06,4771,85706,653,3900
10.1504,2.20E+08,3.77E+06,4814,82014,662,3900
13.4028,2.20E+08,3.77E+06,4627,80385,596,3900
12.8671,2.21E+08,3.76E+06,4656,77330,599,3900
10.927,2.21E+08,3.77E+06,4817,78031,577,3900
11.5726,2.21E+08,3.77E+06,4586,75146,543,3900
9.89087,2.21E+08,3.77E+06,4540,75652,543,3900
10.9254,2.21E+08,3.79E+06,4195,71432,483,3900
10.2788,2.21E+08,3.79E+06,4137,72643,492,3900
11.0182,2.21E+08,3.79E+06,4203,73364,469,3900
10.8034,2.21E+08,3.77E+06,4453,76843,555,3900
11.5843,2.21E+08,3.78E+06,4454,77586,540,3900
8.97078,2.21E+08,3.77E+06,4381,76300,551,3900
10.018,2.21E+08,3.78E+06,4388,74443,541,3900
10.5387,2.21E+08,3.77E+06,4202,71791,466,3900
11.3178,2.21E+08,3.79E+06,4202,72999,477,3900
7.93338,2.21E+08,3.79E+06,4192,75327,464,3900
9.62136,2.21E+08,3.78E+06,4296,76823,509,3900
12.4838,2.21E+08,3.77E+06,4282,76737,497,3900
7.54616,2.21E+08,3.77E+06,4238,77728,463,3900
11.4515,2.21E+08,3.78E+06,4203,78676,406,3900
11.4112,2.21E+08,3.78E+06,4388,81432,456,3900
11.5568,2.21E+08,3.78E+06,4446,79529,446,3900
10.6356,2.21E+08,3.78E+06,4531,81222,524,3900
14.4397,2.21E+08,3.78E+06,4535,78755,535,3900
11.8333,2.21E+08,3.77E+06,4560,80532,568,3900
10.1077,2.21E+08,3.78E+06,4515,79884,549,3900
10.9221,2.21E+08,3.77E+06,4552,80651,559,3900
13.3483,2.21E+08,3.77E+06,4545,80077,572,3900
9.88565,2.21E+08,3.78E+06,4618,79771,603,3900
11.3177,2.21E+08,3.78E+06,4531,77721,584,3900
13.1331,2.21E+08,3.79E+06,4204,72166,503,3900
8.91444,2.21E+08,3.79E+06,4140,73467,480,3900
13.1407,2.21E+08,3.79E+06,4211,75169,489,3900
10.9257,2.21E+08,3.77E+06,4368,82446,589,3900
10.5446,2.21E+08,3.77E+06,4341,80730,577,3900
11.5791,2.21E+08,3.79E+06,4238,76747,539,3900
8.97352,2.21E+08,3.79E+06,4214,74497,507,3900
11.1937,2.21E+08,3.78E+06,4379,73048,496,3900
10.1458,2.21E+08,3.78E+06,4522,75386,480,3900
8.58446,2.21E+08,3.79E+06,4578,76555,472,3900
11.0237,2.21E+08,3.79E+06,4579,77967,520,3900
10.1275,2.21E+08,3.78E+06,4478,74905,523,3900
12.5729,2.21E+08,3.78E+06,4607,77075,619,3900
9.49609,2.21E+08,3.78E+06,4666,78366,616,3900
12.1044,2.21E+08,3.76E+06,4599,79438,553,3900
13.3939,2.21E+08,3.78E+06,4541,81282,529,3900
7.80361,2.21E+08,3.78E+06,4458,81171,609,3900
13.9253,2.21E+08,3.76E+06,4619,84351,644,3900
9.75745,2.21E+08,3.77E+06,4753,85012,665,3900
10.7957,2.21E+08,3.76E+06,4674,85889,624,3900
13.5276,2.21E+08,3.77E+06,4617,85141,623,3900
14.4333,2.21E+08,3.78E+06,4571,84639,583,3900
10.2829,2.21E+08,3.78E+06,4454,80722,597,3900
13.744,2.21E+08,3.78E+06,4374,80499,571,3900
10.6617,2.21E+08,3.77E+06,4510,82638,656,3900
9.49409,2.21E+08,3.77E+06,4505,83436,704,3900
11.9646,2.21E+08,3.77E+06,4680,83664,714,3900
12.4013,2.21E+08,3.76E+06,4635,81160,693,3900
12.7447,2.21E+08,3.75E+06,4645,82845,616,3900
8.84399,2.21E+08,3.76E+06,4593,83283,509,3900
9.37273,2.21E+08,3.77E+06,4632,80526,486,3900
8.96462,2.21E+08,3.78E+06,4395,76910,427,3900
12.6054,2.21E+08,3.77E+06,4491,76163,424,3900
12.2335,2.21E+08,3.75E+06,4556,74991,532,3900
10.4097,2.21E+08,3.76E+06,4659,76459,593,3900
10.1455,2.21E+08,3.76E+06,4564,79853,645,3900
11.061,2.21E+08,3.76E+06,4465,78419,651,3900
11.5769,2.21E+08,3.74E+06,4506,79321,709,3900
