cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
100,2.14E+08,3.55E+06,2248455,2248455,0,430550
100,1.99E+08,3.63E+06,2248463,2248463,0,369550
100,2.02E+08,3.70E+06,2248487,2248487,0,385000
100,2.14E+08,3.68E+06,2248487,2248487,0,430550
100,2.15E+08,3.70E+06,2248488,2248488,0,430550
100,2.17E+08,3.61E+06,2248490,2248490,0,439650
100,1.92E+08,3.73E+06,2248493,2248493,0,342450
100,2.04E+08,3.77E+06,2248493,2248492,0,389250
100,2.17E+08,3.97E+06,2248494,2248494,0,439650
100,2.17E+08,3.57E+06,2248498,2248498,0,439650
100,1.98E+08,3.91E+06,2248504,2248504,0,367050
100,2.07E+08,3.67E+06,2248509,2248509,0,400750
100,2.17E+08,4.16E+06,2248511,2248510,0,439650
100,2.14E+08,4.09E+06,2248516,2248516,0,430550
100,2.01E+08,3.65E+06,2248520,2248520,0,382000
100,2.04E+08,3.76E+06,2248523,2248523,0,388450
100,2.17E+08,3.55E+06,2248526,2248524,0,439650
100,2.14E+08,3.79E+06,2248547,2248547,0,430550
100,2.14E+08,3.76E+06,2248553,2248553,0,430550
100,2.17E+08,3.66E+06,2248554,2248554,0,438200
100,2.14E+08,3.62E+06,2248558,2248558,0,430550
100,2.01E+08,3.93E+06,2248564,2248564,0,382650
100,2.17E+08,3.56E+06,2248566,2248566,0,439650
100,2.17E+08,3.74E+06,2248569,2248569,0,439650
100,2.17E+08,3.70E+06,2248583,2248583,0,439750
100,1.99E+08,3.65E+06,2248595,2248596,0,372500
100,2.02E+08,3.63E+06,2248615,2248615,0,384700
100,2.17E+08,3.87E+06,2248625,2248625,0,439750
100,2.17E+08,3.64E+06,2248631,2248631,0,439650
100,2.02E+08,3.68E+06,2248644,2248644,0,384700
100,2.04E+08,3.77E+06,2248644,2248644,0,389000
100,2.04E+08,3.95E+06,2248646,2248646,0,389250
100,2.03E+08,3.68E+06,2248655,2248653,0,388300
100,2.02E+08,3.72E+06,2248669,2248669,0,384300
100,2.04E+08,4.21E+06,2248679,2248680,0,390400
100,2.14E+08,3.63E+06,2248691,2248690,0,430550
