cpus,mem,npmem,recvTps,sendTps,acceptTps,serializedBuffer
100,3.38E+08,7.08E+06,2401168,2401168,0,610000
100,2.51E+08,6.70E+06,2404616,2404616,658,288000
100,3.38E+08,7.08E+06,2406823,2406823,0,640500
100,3.38E+08,7.08E+06,2410159,2410156,0,617950
100,3.38E+08,7.08E+06,2414977,2414977,0,638900
100,3.38E+08,7.08E+06,2414995,2414996,0,630200
100,3.38E+08,7.08E+06,2416942,2416943,0,617950
100,3.38E+08,7.08E+06,2451006,2451006,0,586850
100,3.38E+08,7.08E+06,2464224,2464222,0,586850
100,3.38E+08,7.08E+06,2472069,2472069,0,640500
100,2.50E+08,7.14E+06,2483240,2483242,0,288000
100,3.38E+08,7.08E+06,2483562,2483562,0,617150
100,3.38E+08,7.08E+06,2488465,2488465,0,639100
100,3.38E+08,7.08E+06,2489503,2489504,0,585200
100,3.34E+08,7.21E+06,2497497,2497498,0,566100
100,3.38E+08,7.08E+06,2501769,2501769,0,640500
100,3.38E+08,7.08E+06,2507352,2507351,0,582500
100,3.38E+08,7.08E+06,2516515,2516515,0,617950
100,3.38E+08,7.08E+06,2520636,2520638,0,617150
100,3.38E+08,7.08E+06,2533086,2533089,0,623000
100,2.51E+08,6.67E+06,2536881,2536881,0,288000
100,3.38E+08,7.08E+06,2539337,2539336,0,617950
100,3.38E+08,7.08E+06,2552470,2552470,0,613450
100,3.38E+08,7.08E+06,2553911,2553911,0,586850
100,3.38E+08,7.08E+06,2591205,2591205,0,585200
100,2.51E+08,7.06E+06,2598222,2598222,452,288000
100,3.31E+08,7.25E+06,2602780,2602780,0,557950
100,2.51E+08,6.82E+06,2605970,2605970,0,288000
100,3.38E+08,7.08E+06,2611863,2611861,0,606400
100,3.38E+08,7.08E+06,2632356,2632352,0,623100
100,3.38E+08,7.08E+06,2641715,2641715,0,620950
100,3.38E+08,7.08E+06,2644107,2644109,0,607350
100,3.38E+08,7.08E+06,2665860,2665860,0,586850
100,3.38E+08,7.08E+06,2680150,2680148,0,630200
100,3.38E+08,7.08E+06,2681380,2681380,0,618450
100,3.38E+08,7.08E+06,2681859,2681861,0,586850
100,2.51E+08,7.11E+06,2689544,2689545,0,291650
100,3.38E+08,7.08E+06,2690784,2690784,0,607350
100,3.38E+08,7.08E+06,2691657,2691657,0,639100
100,3.32E+08,7.08E+06,2697831,2697830,0,562000
100,3.38E+08,7.08E+06,2700018,2700016,0,608900
100,3.38E+08,7.08E+06,2705365,2705365,0,630200
100,3.38E+08,7.08E+06,2716679,2716679,0,630100
100,3.38E+08,7.23E+06,2724945,2724945,0,582500
100,3.27E+08,7.96E+06,2725268,2725268,0,545200
100,3.38E+08,7.08E+06,2729297,2729297,0,638150
100,3.38E+08,7.08E+06,2736064,2736066,0,586150
100,3.38E+08,7.08E+06,2740651,2740650,0,609950
100,3.38E+08,7.08E+06,2745866,2745866,0,618450
100,3.38E+08,7.08E+06,2749036,2749036,0,616850
100,2.52E+08,7.12E+06,2754351,2754351,257,296850
100,3.38E+08,7.08E+06,2756318,2756315,0,618450
100,3.38E+08,7.08E+06,2760593,2760593,0,586850
100,3.38E+08,7.08E+06,2761035,2761032,0,628550
100,3.38E+08,7.08E+06,2763720,2763720,0,617150
100,3.38E+08,7.08E+06,2764519,2764517,0,630200
100,3.34E+08,7.37E+06,2766348,2766348,0,567400
100,3.38E+08,7.08E+06,2767753,2767751,0,630200
100,3.38E+08,7.08E+06,2767780,2767770,0,609950
100,3.38E+08,7.08E+06,2776204,2776209,0,586850
100,3.38E+08,7.08E+06,2778633,2778634,0,606400
100,3.38E+08,7.08E+06,2781874,2781875,0,626650
100,3.38E+08,7.08E+06,2783586,2783588,0,639100
100,3.38E+08,7.08E+06,2783758,2783758,0,586850
100,3.38E+08,7.08E+06,2784530,2784530,0,610000
100,3.38E+08,7.08E+06,2786955,2786955,0,610900
100,3.38E+08,7.08E+06,2788211,2788211,0,617950
100,3.38E+08,7.08E+06,2797243,2797243,0,616850
100,3.38E+08,7.08E+06,2797736,2797737,0,608900
100,3.38E+08,7.08E+06,2802607,2802608,0,630100
100,3.38E+08,7.08E+06,2809763,2809763,0,586850
100,3.38E+08,7.08E+06,2813555,2813555,0,620150
100,3.38E+08,7.08E+06,2813931,2813930,0,630200
100,3.38E+08,7.08E+06,2814585,2814584,0,610000
100,3.38E+08,7.08E+06,2817454,2817454,0,626650
100,3.38E+08,7.08E+06,2818156,2818155,0,608900
100,3.38E+08,7.08E+06,2819025,2819025,0,630200
100,3.38E+08,7.08E+06,2820411,2820411,0,607350
100,3.38E+08,7.08E+06,2824338,2824337,0,642650
100,3.38E+08,7.08E+06,2828455,2828456,0,630200
100,2.51E+08,7.04E+06,2835289,2835289,0,291750
100,3.38E+08,7.08E+06,2837275,2837274,0,586850
100,3.38E+08,7.08E+06,2838158,2838157,0,623100
100,3.38E+08,7.08E+06,2844717,2844714,0,610950
100,3.28E+08,7.15E+06,2847923,2847927,0,549100
100,3.38E+08,7.08E+06,2848595,2848595,0,607350
100,3.38E+08,7.08E+06,2851674,2851674,0,639100
100,3.38E+08,7.08E+06,2852806,2852806,0,616850
100,3.38E+08,7.08E+06,2854958,2854959,0,630200
100,3.38E+08,7.08E+06,2855351,2855351,0,642650
100,3.38E+08,7.08E+06,2855633,2855637,0,630200
100,3.38E+08,7.08E+06,2857130,2857129,0,630100
100,3.38E+08,7.08E+06,2859153,2859150,0,607350
100,3.38E+08,7.08E+06,2860018,2860018,0,586850
100,3.33E+08,7.16E+06,2862470,2862470,0,565700
100,3.38E+08,7.08E+06,2867480,2867480,0,620950
100,3.38E+08,7.08E+06,2867713,2867712,0,608500
100,3.38E+08,7.08E+06,2868873,2868873,0,586850
100,3.38E+08,7.08E+06,2870395,2870396,0,608500
100,3.38E+08,7.08E+06,2872187,2872187,0,617150
100,3.38E+08,7.08E+06,2872255,2872253,0,618450
100,3.38E+08,7.08E+06,2873028,2873029,0,639100
100,3.38E+08,7.08E+06,2873914,2873913,0,618300
100,3.38E+08,7.08E+06,2876900,2876896,0,586850
100,3.38E+08,7.08E+06,2877682,2877682,0,630200
100,3.28E+08,7.48E+06,2878315,2878314,0,549100
100,3.34E+08,7.28E+06,2882546,2882546,0,566100
100,3.38E+08,7.08E+06,2885869,2885869,0,630100
100,3.38E+08,7.08E+06,2886625,2886626,0,630200
100,3.38E+08,7.08E+06,2889358,2889353,0,616850
100,3.38E+08,7.08E+06,2889503,2889505,0,616850
